time;count
26/06/2015 20:02;439
26/06/2015 20:05;364
26/06/2015 20:08;507
26/06/2015 20:11;357
26/06/2015 20:14;332
26/06/2015 20:17;295
26/06/2015 20:20;314
26/06/2015 20:23;302
26/06/2015 20:26;306
26/06/2015 20:29;287
26/06/2015 20:32;308
26/06/2015 20:35;250
26/06/2015 20:38;303
26/06/2015 20:41;297
26/06/2015 20:44;286
26/06/2015 20:47;445
26/06/2015 20:50;425
26/06/2015 20:53;251
26/06/2015 20:56;292
26/06/2015 20:59;250
26/06/2015 21:01;284
26/06/2015 21:04;350
26/06/2015 21:07;288
26/06/2015 21:10;278
26/06/2015 21:13;259
26/06/2015 21:16;251
26/06/2015 21:19;487
26/06/2015 21:22;345
26/06/2015 21:25;283
26/06/2015 21:28;319
26/06/2015 21:31;261
26/06/2015 21:34;249
26/06/2015 21:37;397
26/06/2015 21:40;375
26/06/2015 21:43;263
26/06/2015 21:46;269
26/06/2015 21:49;209
26/06/2015 21:52;848
26/06/2015 21:55;1009
26/06/2015 21:58;615
26/06/2015 22:00;622
26/06/2015 22:03;535
26/06/2015 22:06;397
26/06/2015 22:09;396
26/06/2015 22:12;355
26/06/2015 22:15;351
26/06/2015 22:18;324
26/06/2015 22:21;327
26/06/2015 22:24;275
26/06/2015 22:27;255
26/06/2015 22:30;268
26/06/2015 22:33;283
26/06/2015 22:36;265
26/06/2015 22:39;301
26/06/2015 22:42;223
26/06/2015 22:45;253
26/06/2015 22:48;233
26/06/2015 22:51;242
26/06/2015 22:54;214
26/06/2015 22:57;212
26/06/2015 23:02;216
26/06/2015 23:05;204
26/06/2015 23:08;205
26/06/2015 23:11;206
26/06/2015 23:14;206
26/06/2015 23:17;206
26/06/2015 23:20;279
26/06/2015 23:23;336
26/06/2015 23:26;246
26/06/2015 23:29;177
26/06/2015 23:32;208
26/06/2015 23:35;221
26/06/2015 23:38;177
26/06/2015 23:41;172
26/06/2015 23:44;158
26/06/2015 23:47;167
26/06/2015 23:50;171
26/06/2015 14:00;488
26/06/2015 14:03;397
26/06/2015 14:06;357
26/06/2015 14:09;335
26/06/2015 14:12;395
26/06/2015 14:15;478
26/06/2015 14:18;390
26/06/2015 14:21;387
26/06/2015 14:24;412
26/06/2015 14:27;485
26/06/2015 14:30;473
26/06/2015 14:33;414
26/06/2015 14:36;409
26/06/2015 14:39;362
26/06/2015 14:42;407
26/06/2015 14:45;436
26/06/2015 14:48;374
26/06/2015 14:51;519
26/06/2015 14:54;413
26/06/2015 14:57;689
26/06/2015 15:02;607
26/06/2015 15:05;560
26/06/2015 15:08;551
26/06/2015 15:11;790
26/06/2015 15:14;658
26/06/2015 15:17;580
26/06/2015 15:20;594
26/06/2015 15:23;560
26/06/2015 15:26;593
26/06/2015 15:29;484
26/06/2015 15:32;575
26/06/2015 15:35;543
26/06/2015 15:38;648
26/06/2015 15:41;587
26/06/2015 22:10;428
26/06/2015 22:13;296
26/06/2015 22:16;325
26/06/2015 22:19;288
26/06/2015 22:22;281
26/06/2015 22:25;243
26/06/2015 22:28;259
26/06/2015 22:31;271
26/06/2015 22:34;278
26/06/2015 22:37;337
26/06/2015 22:40;279
26/06/2015 22:43;216
26/06/2015 22:46;222
26/06/2015 22:49;241
26/06/2015 22:52;240
26/06/2015 22:55;212
26/06/2015 22:58;233
26/06/2015 23:00;264
26/06/2015 23:03;218
26/06/2015 23:06;199
26/06/2015 23:09;219
26/06/2015 23:12;207
26/06/2015 23:15;209
26/06/2015 23:18;248
26/06/2015 23:21;259
26/06/2015 23:24;243
26/06/2015 23:27;230
26/06/2015 23:30;174
26/06/2015 23:33;200
26/06/2015 23:36;174
26/06/2015 23:39;186
26/06/2015 23:42;182
26/06/2015 23:45;155
26/06/2015 23:48;169
26/06/2015 14:01;442
26/06/2015 14:04;402
26/06/2015 14:07;372
26/06/2015 14:10;398
26/06/2015 14:13;381
26/06/2015 14:16;442
26/06/2015 14:19;400
26/06/2015 14:22;414
26/06/2015 14:25;411
26/06/2015 14:28;467
26/06/2015 14:31;478
26/06/2015 14:34;363
26/06/2015 14:37;504
26/06/2015 14:40;378
26/06/2015 14:43;407
26/06/2015 14:46;408
26/06/2015 14:49;383
26/06/2015 14:52;392
26/06/2015 14:55;465
26/06/2015 14:58;646
26/06/2015 15:00;736
26/06/2015 15:03;581
26/06/2015 15:06;545
26/06/2015 15:09;666
26/06/2015 15:12;692
26/06/2015 15:15;698
26/06/2015 15:18;579
26/06/2015 15:21;579
26/06/2015 15:24;595
26/06/2015 15:27;600
26/06/2015 15:30;688
26/06/2015 15:33;595
26/06/2015 15:36;570
26/06/2015 15:39;630
26/06/2015 15:42;635
26/06/2015 15:45;766
26/06/2015 15:48;651
26/06/2015 15:51;712
26/06/2015 15:54;889
26/06/2015 15:57;1191
26/06/2015 16:02;1201
26/06/2015 16:05;1016
26/06/2015 16:08;1049
26/06/2015 16:11;916
26/06/2015 16:14;891
26/06/2015 16:17;774
26/06/2015 16:20;845
26/06/2015 16:23;732
26/06/2015 16:26;749
26/06/2015 16:29;1006
26/06/2015 16:32;1038
26/06/2015 16:35;802
26/06/2015 16:38;642
26/06/2015 16:41;646
26/06/2015 16:44;610
26/06/2015 16:47;808
26/06/2015 16:50;767
26/06/2015 16:53;625
26/06/2015 16:56;737
26/06/2015 16:59;675
26/06/2015 17:01;663
26/06/2015 17:04;687
26/06/2015 17:07;608
26/06/2015 17:10;652
26/06/2015 17:13;1580
26/06/2015 17:16;1335
26/06/2015 17:19;1012
26/06/2015 17:22;906
26/06/2015 17:25;916
26/06/2015 17:28;711
26/06/2015 17:31;605
26/06/2015 17:34;615
26/06/2015 17:37;531
26/06/2015 17:40;1350
26/06/2015 17:43;914
26/06/2015 17:46;611
26/06/2015 17:49;680
26/06/2015 17:52;1372
