"";"time";"count"
"7064";2015-06-13 16:00:00;1547
"7065";2015-06-13 16:03:00;1586
"7066";2015-06-13 16:06:00;1246
"7067";2015-06-13 16:09:00;1120
"7068";2015-06-13 16:12:00;1092
"7069";2015-06-13 16:15:00;1315
"7070";2015-06-13 16:18:00;1097
"7071";2015-06-13 16:21:00;988
"7072";2015-06-13 16:24:00;1038
"7073";2015-06-13 16:27:00;975
"7074";2015-06-13 16:30:00;1133
"7075";2015-06-13 16:33:00;2211
"7076";2015-06-13 16:36:00;1431
"7077";2015-06-13 16:39:00;1242
"7078";2015-06-13 16:42:00;1256
"7079";2015-06-13 16:45:00;1214
"7080";2015-06-13 16:48:00;1269
"7081";2015-06-13 16:51:00;1403
"7082";2015-06-13 16:54:00;1216
"7083";2015-06-13 16:57:00;1200
"7084";2015-06-13 17:02:00;1213
"7085";2015-06-13 17:05:00;1107
"7086";2015-06-13 17:08:00;1064
"7087";2015-06-13 17:11:00;967
"7088";2015-06-13 17:14:00;1109
"7089";2015-06-13 17:17:00;949
"7090";2015-06-13 17:20:00;904
"7091";2015-06-13 17:23:00;3469
"7092";2015-06-13 17:26:00;1589
"7093";2015-06-13 17:29:00;1485
"7094";2015-06-13 17:32:00;1195
"7095";2015-06-13 17:35:00;1142
"7096";2015-06-13 17:38:00;1012
"7097";2015-06-13 17:41:00;1065
"7098";2015-06-13 17:44:00;952
"7099";2015-06-13 17:47:00;892
"7100";2015-06-13 17:50:00;1014
"7124";2015-06-13 19:00:00;2024
"7125";2015-06-13 19:03:00;1433
"7126";2015-06-13 19:06:00;1287
"7127";2015-06-13 19:09:00;1314
"7128";2015-06-13 19:12:00;1143
"7129";2015-06-13 19:15:00;1048
"7130";2015-06-13 19:18:00;980
"7131";2015-06-13 19:21:00;833
"7132";2015-06-13 19:24:00;813
"7133";2015-06-13 19:27:00;2745
"7134";2015-06-13 19:30:00;2264
"7135";2015-06-13 19:33:00;1825
"7136";2015-06-13 19:36:00;1376
"7137";2015-06-13 19:39:00;1116
"7138";2015-06-13 19:42:00;1084
"7139";2015-06-13 19:45:00;4563
"7140";2015-06-13 19:48:00;3263
"7141";2015-06-13 19:51:00;2300
"7142";2015-06-13 19:54:00;2264
"7143";2015-06-13 19:57:00;1888
"7144";2015-06-13 20:02:00;1495
"7145";2015-06-13 20:05:00;1200
"7146";2015-06-13 20:08:00;1058
"7147";2015-06-13 20:11:00;3709
"7148";2015-06-13 20:14:00;1668
"7149";2015-06-13 20:17:00;1262
"7150";2015-06-13 20:20:00;1415
"7151";2015-06-13 20:23:00;2944
"7152";2015-06-13 20:26:00;2189
"7153";2015-06-13 20:29:00;1648
"7154";2015-06-13 20:32:00;3322
"7155";2015-06-13 20:35:00;2169
"7156";2015-06-13 20:38:00;3899
"7157";2015-06-13 20:41:00;3030
"7158";2015-06-13 20:44:00;2651
"7159";2015-06-13 20:47:00;2351
"7184";2015-06-13 22:00:00;3869
"7185";2015-06-13 22:03:00;2171
"7186";2015-06-13 22:06:00;1589
"7187";2015-06-13 22:09:00;1271
"7188";2015-06-13 22:12:00;2026
"7189";2015-06-13 22:15:00;2018
"7190";2015-06-13 22:18:00;1601
"7191";2015-06-13 22:21:00;1221
"7192";2015-06-13 22:24:00;1145
"7193";2015-06-13 22:27:00;1063
"7194";2015-06-13 22:30:00;966
"7195";2015-06-13 22:33:00;905
"7196";2015-06-13 22:36:00;1921
"7197";2015-06-13 22:39:00;1115
"7198";2015-06-13 22:42:00;948
"7199";2015-06-13 22:45:00;762
"7200";2015-06-13 22:48:00;946
"7201";2015-06-13 22:51:00;872
"7202";2015-06-13 22:54:00;838
"7203";2015-06-13 22:57:00;752
"7204";2015-06-13 23:02:00;819
"7205";2015-06-13 23:05:00;686
"7206";2015-06-13 23:08:00;703
"7207";2015-06-13 23:11:00;784
"7208";2015-06-13 23:14:00;838
"7209";2015-06-13 23:17:00;681
"7210";2015-06-13 23:20:00;850
"7211";2015-06-13 23:23:00;710
"7212";2015-06-13 23:26:00;685
"7213";2015-06-13 23:29:00;625
"7214";2015-06-13 23:32:00;590
"7215";2015-06-13 23:35:00;638
"7216";2015-06-13 23:38:00;664
"7217";2015-06-13 23:41:00;619
"7218";2015-06-13 23:44:00;635
"7219";2015-06-13 23:47:00;602
"7220";2015-06-13 23:50:00;1313
"22103";2015-06-13 16:01:00;1819
"22104";2015-06-13 16:04:00;1319
"22105";2015-06-13 16:07:00;1182
"22106";2015-06-13 16:10:00;1086
"22107";2015-06-13 16:13:00;1733
"22108";2015-06-13 16:16:00;1169
