time;count
14/06/2015 16:02;1102
14/06/2015 16:05;841
14/06/2015 16:08;1740
14/06/2015 16:11;938
14/06/2015 16:14;921
14/06/2015 16:17;747
14/06/2015 16:20;726
14/06/2015 16:23;650
14/06/2015 16:26;730
14/06/2015 16:29;835
14/06/2015 16:32;743
14/06/2015 16:35;735
14/06/2015 16:38;747
14/06/2015 16:41;645
14/06/2015 16:44;624
14/06/2015 16:47;886
14/06/2015 16:50;690
14/06/2015 16:53;730
14/06/2015 16:56;819
14/06/2015 16:59;725
14/06/2015 17:01;766
14/06/2015 17:04;811
14/06/2015 17:07;715
14/06/2015 17:10;657
14/06/2015 17:13;651
14/06/2015 17:16;820
14/06/2015 17:19;1231
14/06/2015 17:22;994
14/06/2015 17:25;678
14/06/2015 17:28;666
14/06/2015 17:31;701
14/06/2015 17:34;666
14/06/2015 17:37;744
14/06/2015 17:40;654
14/06/2015 17:43;673
14/06/2015 17:46;554
14/06/2015 17:49;591
14/06/2015 19:02;836
14/06/2015 19:05;695
14/06/2015 19:08;618
14/06/2015 19:11;694
14/06/2015 19:14;618
14/06/2015 19:17;650
14/06/2015 19:20;578
14/06/2015 19:23;677
14/06/2015 19:26;974
14/06/2015 19:29;597
14/06/2015 19:32;583
14/06/2015 19:35;598
14/06/2015 19:38;489
14/06/2015 19:41;528
14/06/2015 19:44;498
14/06/2015 19:47;610
14/06/2015 19:50;579
14/06/2015 19:53;637
14/06/2015 19:56;576
14/06/2015 19:59;713
14/06/2015 20:01;603
14/06/2015 20:04;719
14/06/2015 20:07;621
14/06/2015 20:10;736
14/06/2015 20:13;775
14/06/2015 20:16;1660
14/06/2015 20:19;2175
14/06/2015 20:22;1522
14/06/2015 20:25;1280
14/06/2015 20:28;1021
14/06/2015 20:31;763
14/06/2015 20:34;699
14/06/2015 20:37;721
14/06/2015 20:40;688
14/06/2015 20:43;668
14/06/2015 20:46;2764
14/06/2015 20:49;1937
14/06/2015 20:52;1331
14/06/2015 22:02;1657
14/06/2015 22:05;1304
14/06/2015 22:08;1019
14/06/2015 22:11;867
14/06/2015 22:14;941
14/06/2015 22:17;790
14/06/2015 22:20;779
14/06/2015 22:23;908
14/06/2015 22:26;1330
14/06/2015 22:29;960
14/06/2015 22:32;909
14/06/2015 22:35;3091
14/06/2015 22:38;4064
14/06/2015 22:41;3051
14/06/2015 22:44;1502
14/06/2015 22:47;1261
14/06/2015 22:50;1609
14/06/2015 22:53;1281
14/06/2015 22:56;1098
14/06/2015 22:59;1086
14/06/2015 23:01;1007
14/06/2015 23:04;1167
14/06/2015 23:07;793
14/06/2015 23:10;2377
14/06/2015 23:13;1182
14/06/2015 23:16;879
14/06/2015 23:19;688
14/06/2015 23:22;807
14/06/2015 23:25;783
14/06/2015 23:28;816
14/06/2015 23:31;726
14/06/2015 23:34;648
14/06/2015 23:37;719
14/06/2015 23:40;864
14/06/2015 23:43;754
14/06/2015 23:46;928
14/06/2015 23:49;821
14/06/2015 23:52;1162
15/06/2015 01:00;917
15/06/2015 01:03;686
15/06/2015 01:06;700
15/06/2015 01:09;642
15/06/2015 01:12;575
15/06/2015 01:15;505
15/06/2015 01:18;1344
15/06/2015 01:21;755
15/06/2015 01:24;671
15/06/2015 01:27;599
15/06/2015 01:30;533
15/06/2015 01:33;477
15/06/2015 01:36;574
15/06/2015 01:39;690
15/06/2015 01:42;584
15/06/2015 01:45;559
15/06/2015 01:48;795
15/06/2015 01:51;765
15/06/2015 01:54;555
15/06/2015 01:57;545
15/06/2015 02:02;519
15/06/2015 02:05;447
15/06/2015 02:08;397
15/06/2015 02:11;395
15/06/2015 02:14;388
15/06/2015 02:17;445
15/06/2015 02:20;472
15/06/2015 02:23;1907
15/06/2015 02:26;877
15/06/2015 02:29;620
15/06/2015 02:32;492
15/06/2015 02:35;484
15/06/2015 02:38;422
15/06/2015 02:41;385
15/06/2015 02:44;393
15/06/2015 02:47;360
15/06/2015 02:50;396
14/06/2015 16:00;1169
14/06/2015 16:03;1005
14/06/2015 16:06;1413
14/06/2015 16:09;1376
14/06/2015 16:12;893
14/06/2015 16:15;874
14/06/2015 16:18;839
