time;count
18/06/2015 14:01;383
18/06/2015 14:04;288
18/06/2015 14:07;271
18/06/2015 14:10;354
18/06/2015 14:13;274
18/06/2015 14:16;254
18/06/2015 14:19;273
18/06/2015 14:22;251
18/06/2015 14:25;225
18/06/2015 14:28;243
18/06/2015 14:31;239
18/06/2015 14:34;270
18/06/2015 14:37;260
18/06/2015 14:40;334
18/06/2015 14:43;229
18/06/2015 14:46;272
18/06/2015 14:49;264
18/06/2015 14:52;290
18/06/2015 14:55;301
18/06/2015 14:58;267
18/06/2015 15:00;340
18/06/2015 15:03;274
18/06/2015 15:06;278
18/06/2015 15:09;291
18/06/2015 15:12;268
18/06/2015 15:15;309
18/06/2015 15:18;277
18/06/2015 15:21;260
18/06/2015 15:24;301
18/06/2015 15:27;284
18/06/2015 15:30;422
18/06/2015 15:33;315
18/06/2015 15:36;384
18/06/2015 15:39;398
18/06/2015 15:42;372
18/06/2015 15:45;437
18/06/2015 15:48;348
18/06/2015 15:51;504
18/06/2015 15:54;569
18/06/2015 15:57;589
18/06/2015 16:02;537
18/06/2015 16:05;495
18/06/2015 16:08;662
18/06/2015 16:11;350
18/06/2015 16:14;392
18/06/2015 16:17;373
18/06/2015 16:20;1237
18/06/2015 16:23;3334
18/06/2015 16:26;1343
18/06/2015 16:29;875
18/06/2015 16:32;828
18/06/2015 16:35;633
18/06/2015 16:38;640
18/06/2015 16:41;527
18/06/2015 16:44;467
18/06/2015 16:47;528
18/06/2015 16:50;594
18/06/2015 16:53;504
18/06/2015 16:56;494
18/06/2015 16:59;503
18/06/2015 17:01;502
18/06/2015 17:04;636
18/06/2015 17:07;464
18/06/2015 17:10;851
18/06/2015 17:13;2932
18/06/2015 17:16;2950
18/06/2015 17:19;1035
18/06/2015 17:22;813
18/06/2015 17:25;1285
18/06/2015 17:28;1105
18/06/2015 17:31;638
18/06/2015 17:34;594
18/06/2015 17:37;461
18/06/2015 17:40;453
18/06/2015 17:43;444
18/06/2015 17:46;398
18/06/2015 17:49;403
18/06/2015 17:52;1574
18/06/2015 17:55;963
18/06/2015 17:58;645
18/06/2015 18:00;639
18/06/2015 18:03;574
18/06/2015 18:06;490
18/06/2015 18:09;481
18/06/2015 18:12;574
18/06/2015 18:15;496
18/06/2015 18:18;502
18/06/2015 18:21;456
18/06/2015 18:24;443
18/06/2015 18:27;682
18/06/2015 18:30;622
18/06/2015 18:33;479
18/06/2015 18:36;453
18/06/2015 18:39;565
18/06/2015 18:42;485
18/06/2015 18:45;510
18/06/2015 18:48;466
18/06/2015 18:51;500
18/06/2015 18:54;684
18/06/2015 18:57;670
18/06/2015 19:02;822
18/06/2015 19:05;487
18/06/2015 19:08;400
18/06/2015 19:11;396
18/06/2015 19:14;394
18/06/2015 19:17;440
18/06/2015 19:20;2427
18/06/2015 19:23;1471
18/06/2015 19:26;806
18/06/2015 19:29;638
18/06/2015 19:32;547
18/06/2015 19:35;525
18/06/2015 19:38;447
18/06/2015 19:41;502
18/06/2015 19:44;2970
18/06/2015 19:47;2068
18/06/2015 19:50;1682
18/06/2015 19:53;1345
18/06/2015 19:56;1165
18/06/2015 19:59;1017
19/06/2015 01:34;198
19/06/2015 01:37;202
19/06/2015 01:40;215
19/06/2015 01:43;174
19/06/2015 01:46;172
18/06/2015 14:02;287
18/06/2015 14:05;293
18/06/2015 14:08;289
18/06/2015 14:11;301
18/06/2015 14:14;269
18/06/2015 14:17;280
18/06/2015 14:20;287
18/06/2015 14:23;251
18/06/2015 14:26;254
18/06/2015 14:29;256
18/06/2015 14:32;259
18/06/2015 14:35;285
18/06/2015 14:38;249
18/06/2015 14:41;268
18/06/2015 14:44;242
18/06/2015 14:47;254
18/06/2015 14:50;285
18/06/2015 14:53;290
18/06/2015 14:56;249
18/06/2015 14:59;248
18/06/2015 15:01;263
18/06/2015 15:04;264
18/06/2015 15:07;262
18/06/2015 15:10;299
18/06/2015 15:13;253
18/06/2015 15:16;264
18/06/2015 15:19;314
18/06/2015 15:22;269
18/06/2015 15:25;297
18/06/2015 15:28;249
18/06/2015 15:31;339
18/06/2015 15:34;412
18/06/2015 15:37;376
18/06/2015 15:40;462
18/06/2015 15:43;384
18/06/2015 15:46;417
18/06/2015 15:49;422
18/06/2015 15:52;504
18/06/2015 15:55;620
18/06/2015 15:58;587
18/06/2015 16:00;805
18/06/2015 16:03;493
18/06/2015 16:06;470
18/06/2015 16:09;484
18/06/2015 16:12;371
18/06/2015 16:15;414
18/06/2015 16:18;315
18/06/2015 16:21;2787
18/06/2015 16:24;2434
18/06/2015 16:27;1045
18/06/2015 16:30;847
18/06/2015 16:33;881
18/06/2015 16:36;607
18/06/2015 16:39;567
18/06/2015 16:42;478
18/06/2015 16:45;583
18/06/2015 16:48;694
18/06/2015 16:51;534
18/06/2015 16:54;545
18/06/2015 16:57;543
18/06/2015 17:02;626
18/06/2015 17:05;533
18/06/2015 17:08;475
18/06/2015 17:11;1680
18/06/2015 22:54;368
18/06/2015 22:57;292
18/06/2015 23:02;342
18/06/2015 23:05;631
18/06/2015 23:08;436
18/06/2015 23:11;406
18/06/2015 23:14;328
18/06/2015 23:17;293
18/06/2015 23:20;651
18/06/2015 23:23;354
18/06/2015 23:26;318
18/06/2015 23:29;294
18/06/2015 23:32;479
18/06/2015 23:35;312
18/06/2015 23:38;315
18/06/2015 23:41;291
18/06/2015 23:44;262
18/06/2015 23:47;251
18/06/2015 23:50;509
18/06/2015 23:53;478
18/06/2015 23:56;363
18/06/2015 23:59;318
19/06/2015 00:00;311
19/06/2015 00:03;273
19/06/2015 00:06;273
19/06/2015 00:09;275
19/06/2015 00:12;262
19/06/2015 00:15;229
19/06/2015 00:18;199
19/06/2015 00:21;219
19/06/2015 00:24;198
19/06/2015 00:27;195
19/06/2015 00:30;258
19/06/2015 00:33;200
19/06/2015 00:36;203
19/06/2015 00:39;182
19/06/2015 00:42;180
19/06/2015 00:45;194
19/06/2015 00:48;183
19/06/2015 00:51;202
19/06/2015 00:54;182
19/06/2015 00:57;209
19/06/2015 01:02;197
19/06/2015 01:05;181
19/06/2015 01:08;202
19/06/2015 01:11;247
19/06/2015 01:14;445
19/06/2015 01:17;198
19/06/2015 01:20;182
19/06/2015 01:23;164
19/06/2015 01:26;183
19/06/2015 01:29;221
19/06/2015 01:32;192
19/06/2015 01:35;200
19/06/2015 01:38;203
19/06/2015 01:41;163
19/06/2015 01:44;172
19/06/2015 01:47;181
18/06/2015 14:00;481
18/06/2015 14:03;276
18/06/2015 14:06;330
18/06/2015 14:09;264
18/06/2015 14:12;295
18/06/2015 14:15;274
18/06/2015 14:18;264
18/06/2015 14:21;275
18/06/2015 19:52;1480
18/06/2015 19:55;1187
18/06/2015 19:58;944
18/06/2015 20:00;927
18/06/2015 20:03;800
18/06/2015 20:06;734
18/06/2015 20:09;635
18/06/2015 20:12;570
18/06/2015 20:15;574
18/06/2015 20:18;507
18/06/2015 20:21;615
18/06/2015 20:24;632
18/06/2015 20:27;522
18/06/2015 20:30;721
18/06/2015 20:33;598
18/06/2015 20:36;907
18/06/2015 20:39;648
18/06/2015 20:42;700
18/06/2015 20:45;914
18/06/2015 20:48;800
18/06/2015 20:51;939
18/06/2015 20:54;1107
18/06/2015 20:57;3111
18/06/2015 21:02;2144
18/06/2015 21:05;1668
18/06/2015 21:08;1307
18/06/2015 21:11;1206
18/06/2015 21:14;950
18/06/2015 21:17;1002
18/06/2015 21:20;861
18/06/2015 21:23;724
18/06/2015 21:26;780
18/06/2015 21:29;955
18/06/2015 21:32;660
18/06/2015 21:35;626
18/06/2015 21:38;586
18/06/2015 21:41;623
18/06/2015 21:44;846
18/06/2015 21:47;925
18/06/2015 21:50;721
18/06/2015 21:53;629
18/06/2015 21:56;614
18/06/2015 21:59;573
18/06/2015 22:01;653
18/06/2015 22:04;606
18/06/2015 22:07;483
18/06/2015 22:10;482
18/06/2015 22:13;660
18/06/2015 22:16;430
18/06/2015 22:19;420
18/06/2015 22:22;406
18/06/2015 22:25;390
18/06/2015 22:28;338
18/06/2015 22:31;347
18/06/2015 22:34;351
18/06/2015 22:37;328
18/06/2015 22:40;420
18/06/2015 22:43;420
18/06/2015 22:46;401
18/06/2015 22:49;379
18/06/2015 22:52;338
18/06/2015 22:55;311
18/06/2015 22:58;349
18/06/2015 23:00;366
18/06/2015 23:03;324
18/06/2015 23:06;643
18/06/2015 23:09;380
18/06/2015 23:12;341
18/06/2015 23:15;356
18/06/2015 23:18;378
18/06/2015 23:21;459
18/06/2015 23:24;395
18/06/2015 23:27;304
18/06/2015 23:30;518
18/06/2015 23:33;400
18/06/2015 23:36;295
18/06/2015 23:39;277
18/06/2015 23:42;288
18/06/2015 23:45;285
18/06/2015 23:48;291
18/06/2015 23:51;507
18/06/2015 23:54;415
18/06/2015 23:57;381
19/06/2015 00:01;284
19/06/2015 00:04;314
19/06/2015 00:07;265
19/06/2015 00:10;242
19/06/2015 00:13;254
19/06/2015 00:16;191
19/06/2015 00:19;194
19/06/2015 00:22;204
19/06/2015 00:25;182
19/06/2015 00:28;194
19/06/2015 00:31;200
19/06/2015 00:34;199
19/06/2015 00:37;216
19/06/2015 00:40;207
19/06/2015 00:43;177
19/06/2015 00:46;193
19/06/2015 00:49;188
19/06/2015 00:52;201
19/06/2015 00:55;217
19/06/2015 00:58;220
19/06/2015 01:00;209
19/06/2015 01:03;175
19/06/2015 01:06;166
19/06/2015 01:09;270
19/06/2015 01:12;201
19/06/2015 01:15;238
19/06/2015 01:18;199
19/06/2015 01:21;179
19/06/2015 01:24;174
19/06/2015 01:27;191
19/06/2015 01:30;251
19/06/2015 01:33;196
19/06/2015 01:36;214
19/06/2015 01:39;184
19/06/2015 01:42;162
19/06/2015 01:45;180
