time;count
15/06/2015 14:02;458
15/06/2015 14:05;480
15/06/2015 14:08;399
15/06/2015 14:11;363
15/06/2015 14:14;347
15/06/2015 14:17;350
15/06/2015 14:20;390
15/06/2015 14:23;396
15/06/2015 14:26;343
15/06/2015 14:29;398
15/06/2015 14:32;355
15/06/2015 14:35;342
15/06/2015 14:38;432
15/06/2015 14:41;422
15/06/2015 14:44;427
15/06/2015 14:47;381
15/06/2015 14:50;405
15/06/2015 14:53;408
15/06/2015 14:56;383
15/06/2015 14:59;361
15/06/2015 15:01;440
15/06/2015 15:04;412
15/06/2015 15:07;370
15/06/2015 15:10;381
15/06/2015 15:13;473
15/06/2015 15:16;399
15/06/2015 15:19;405
15/06/2015 15:22;423
15/06/2015 15:25;388
15/06/2015 15:28;375
15/06/2015 15:31;489
15/06/2015 15:34;536
15/06/2015 15:37;471
15/06/2015 15:40;462
15/06/2015 15:43;458
15/06/2015 15:46;561
15/06/2015 15:49;563
15/06/2015 15:52;504
15/06/2015 15:55;586
15/06/2015 15:58;573
15/06/2015 17:53;2297
15/06/2015 17:56;1366
15/06/2015 17:59;1151
15/06/2015 18:01;1086
15/06/2015 18:04;855
15/06/2015 18:07;759
15/06/2015 18:10;771
15/06/2015 18:13;690
15/06/2015 18:16;598
15/06/2015 18:19;571
15/06/2015 18:22;576
15/06/2015 18:25;608
15/06/2015 18:28;560
15/06/2015 18:31;765
15/06/2015 18:34;677
15/06/2015 18:37;600
15/06/2015 18:40;551
15/06/2015 18:43;658
15/06/2015 18:46;579
15/06/2015 18:49;577
15/06/2015 18:52;650
15/06/2015 18:55;792
15/06/2015 18:58;778
15/06/2015 20:53;1327
15/06/2015 20:56;845
15/06/2015 20:59;678
15/06/2015 21:01;699
15/06/2015 21:04;638
15/06/2015 21:07;618
15/06/2015 21:10;564
15/06/2015 21:13;556
15/06/2015 21:16;530
15/06/2015 21:19;550
15/06/2015 21:22;521
15/06/2015 21:25;506
15/06/2015 21:28;488
15/06/2015 21:31;816
15/06/2015 21:34;732
15/06/2015 21:37;671
15/06/2015 21:40;724
15/06/2015 21:43;594
15/06/2015 21:46;627
15/06/2015 21:49;642
15/06/2015 21:52;848
15/06/2015 21:55;1071
15/06/2015 21:58;925
15/06/2015 23:50;796
15/06/2015 23:53;2504
15/06/2015 23:56;1703
15/06/2015 23:59;1339
16/06/2015 00:00;1283
16/06/2015 00:03;1031
16/06/2015 00:06;816
16/06/2015 00:09;765
16/06/2015 00:12;684
16/06/2015 00:15;637
16/06/2015 00:18;615
15/06/2015 14:00;511
15/06/2015 14:03;473
15/06/2015 14:06;391
15/06/2015 14:09;429
15/06/2015 14:12;379
15/06/2015 14:15;412
15/06/2015 14:18;391
15/06/2015 14:21;375
15/06/2015 14:24;320
15/06/2015 14:27;392
15/06/2015 14:30;408
15/06/2015 14:33;377
15/06/2015 14:36;379
15/06/2015 14:39;401
15/06/2015 14:42;362
15/06/2015 14:45;406
15/06/2015 14:48;426
15/06/2015 14:51;365
15/06/2015 14:54;352
15/06/2015 14:57;399
15/06/2015 15:02;392
15/06/2015 15:05;402
15/06/2015 15:08;379
15/06/2015 15:11;405
15/06/2015 15:14;456
15/06/2015 15:17;376
15/06/2015 15:20;407
15/06/2015 15:23;359
15/06/2015 15:26;408
15/06/2015 15:29;463
15/06/2015 15:32;466
15/06/2015 15:35;465
15/06/2015 15:38;414
15/06/2015 15:41;502
15/06/2015 15:44;424
15/06/2015 15:47;537
15/06/2015 15:50;473
15/06/2015 15:53;539
15/06/2015 15:56;590
15/06/2015 15:59;589
15/06/2015 17:51;3909
15/06/2015 17:54;1962
15/06/2015 17:57;1397
15/06/2015 18:02;1022
15/06/2015 18:05;796
15/06/2015 18:08;876
15/06/2015 18:11;793
15/06/2015 18:14;654
15/06/2015 18:17;582
15/06/2015 18:20;633
15/06/2015 18:23;564
15/06/2015 18:26;564
15/06/2015 18:29;613
15/06/2015 18:32;688
15/06/2015 18:35;619
15/06/2015 18:38;615
15/06/2015 18:41;572
15/06/2015 18:44;602
15/06/2015 18:47;607
15/06/2015 18:50;612
15/06/2015 18:53;688
15/06/2015 18:56;777
15/06/2015 18:59;826
15/06/2015 20:54;1151
15/06/2015 20:57;805
15/06/2015 21:02;740
15/06/2015 21:05;674
15/06/2015 21:08;578
15/06/2015 21:11;556
15/06/2015 21:14;530
15/06/2015 21:17;540
15/06/2015 21:20;519
15/06/2015 21:23;583
15/06/2015 21:26;546
15/06/2015 21:29;495
15/06/2015 21:32;778
15/06/2015 21:35;682
15/06/2015 21:38;584
15/06/2015 21:41;590
15/06/2015 21:44;597
15/06/2015 21:47;635
15/06/2015 21:50;707
15/06/2015 21:53;967
15/06/2015 21:56;967
15/06/2015 21:59;1056
15/06/2015 23:51;1798
15/06/2015 23:54;2188
15/06/2015 23:57;1575
16/06/2015 00:01;1172
16/06/2015 00:04;943
16/06/2015 00:07;793
16/06/2015 00:10;751
16/06/2015 00:13;668
16/06/2015 00:16;694
16/06/2015 00:19;582
15/06/2015 14:01;493
15/06/2015 14:04;461
15/06/2015 14:07;417
15/06/2015 14:10;400
15/06/2015 14:13;394
15/06/2015 14:16;407
15/06/2015 14:19;431
15/06/2015 14:22;334
15/06/2015 14:25;382
15/06/2015 14:28;405
